PRCSNAME,PRCSTYPE,OPRID,TSECONDS
VFSA0001,Application Engine,PSFINBATCH,15.047355
DRILLDWN,nVision-Report,b.grotegut,26.446917
NVSRUN,nVision-Report,s.teichman,68.043479
PV_AUTO_SRC,Application Engine,t.nowlin,45.100804
POPO005,SQR Report,t.nowlin,11.653236
POPO005,SQR Report,r.bell,7.532719
POPO005,SQR Report,t.nowlin,11.101026
POPO005,SQR Report,r.bell,13.378586
POPO005,SQR Process,t.nowlin,11.257816
PO_PO_EMAIL,Application Engine,t.nowlin,15.02446
NVSRUN,nVision-Report,c.caezza,22.985139
DRILLDWN,nVision-Report,s.teichman,27.054264
DRILLDWN,nVision-Report,c.caezza,28.931002
PORQ010,SQR Report,t.nowlin,12.14016
POPO005,SQR Process,r.bell,13.335475
PO_PO_EMAIL,Application Engine,r.bell,14.937413
POPO005,SQR Process,r.bell,12.019783
PO_PO_EMAIL,Application Engine,r.bell,15.020031
POPO005,SQR Process,r.bell,10.597033
PO_PO_EMAIL,Application Engine,r.bell,15.015116
PORQ010,SQR Report,r.bell,14.033543
IN_FUL_DPL,Application Engine,m.lopez,30.004215
V_UPDSTG_EXP,Application Engine,m.lopez,15.003294
INPSSTGE,COBOL SQL,m.lopez,14.173114
INS3500,SQR Report,m.lopez,12.136275
INPPPTWY,COBOL SQL,m.lopez,14.766444
V_UPDSTG_EXP,Application Engine,m.lopez,15.004405
INPSSTGE,COBOL SQL,m.lopez,14.287636
INS3500,SQR Report,m.lopez,11.555641
INPPPTWY,COBOL SQL,m.lopez,14.736117
IN_FUL_DPL,Application Engine,m.lopez,15.013239
V_UPDSTG_EXP,Application Engine,m.lopez,15.014428
V_UPDSTG_EXP,Application Engine,m.lopez,15.02302
INPSSTGE,COBOL SQL,m.lopez,14.717579
INPSSTGE,COBOL SQL,m.lopez,14.72764
INS3500,SQR Report,m.lopez,14.19511
INPPPTWY,COBOL SQL,m.lopez,14.779997
INS3500,SQR Report,m.lopez,14.320086
INPPPTWY,COBOL SQL,m.lopez,14.74023
GL_JEDIT_0,Application Engine,v.santos,14.991505
GL_JP,Application Engine,v.santos,15.008345
DRILLDWN,nVision-Report,s.teichman,26.557434
VFSA0001,Application Engine,PSFINBATCH,14.878024
VPTA0001,Application Engine,PSFINBATCH,15.058052
VPOA0002,Application Engine,PSFINBATCH,15.011293
GL_JEDIT_0,Application Engine,v.santos,15.003536
PORQ010,SQR Report,r.bell,11.80232
GL_JP,Application Engine,v.santos,15.0116
GL_JEDIT_0,Application Engine,v.santos,15.005312
NVSRUN,nVision-Report,e.endicott,20.933287
GL_JP,Application Engine,v.santos,14.99875
GL_JEDIT_0,Application Engine,v.santos,15.005489
DRILLDWN,nVision-Report,e.endicott,41.624417
GL_JP,Application Engine,v.santos,15.013676
GL_JEDIT_0,Application Engine,v.santos,15.012978
GL_JP,Application Engine,v.santos,15.913419
NVSRUN,nVision-Report,v.santos,70.098784
GL_JEDIT_0,Application Engine,v.santos,15.007493
GL_JP,Application Engine,v.santos,15.163907
GL_JEDIT_0,Application Engine,v.santos,15.093471
GL_JP,Application Engine,v.santos,15.006636
GL_JEDIT_0,Application Engine,v.santos,15.013161
GL_JP,Application Engine,v.santos,15.013023
GL_JEDIT_0,Application Engine,v.santos,15.013113
GL_JP,Application Engine,v.santos,15.029325
FS_STREAMLN,Application Engine,j.baer,75.211024
FS_STREAMLN,Application Engine,j.baer,75.100472
PO_RECVPUSH,Application Engine,r.bell,14.997624
PO_POCHNG,Application Engine,r.bell,45.259493
NVSRUN,nVision-Report,a.vessar,21.393276
NVSRUN,nVision-Report,a.vessar,44.027468
NVSRUN,nVision-Report,a.vessar,13.799087
POPO005,SQR Report,r.bell,8.410323
POPO005,SQR Process,r.bell,12.056782
PO_PO_EMAIL,Application Engine,r.bell,15.337432
NVSRUN,nVision-Report,a.vessar,22.376315
NVSRUN,nVision-Report,a.vessar,14.062133
NVSRUN,nVision-Report,a.vessar,13.866
NVSRUN,nVision-Report,a.vessar,11.860612
NVSRUN,nVision-Report,a.vessar,13.913302
VFSA0001,Application Engine,PSFINBATCH,15.287472
PORQ010,SQR Report,t.nowlin,12.681355
DRILLDWN,nVision-Report,c.caezza,26.442105
PORQ010,SQR Report,r.bell,12.399218
PORQ010,SQR Report,r.bell,13.505839
PORQ010,SQR Report,r.bell,13.572256
DRILLDWN,nVision-Report,k.baker,11.851382
DRILLDWN,nVision-Report,c.caezza,13.946814
PORQ010,SQR Report,t.nowlin,12.390941
NVSRUN,nVision-Report,m.sutton,8.645392
DRILLDWN,nVision-Report,c.caezza,11.786681
PV_AUTO_SRC,Application Engine,t.nowlin,45.045414
POPO005,SQR Report,t.nowlin,10.140007
POPO005,SQR Report,t.nowlin,13.370921
DRILLDWN,nVision-Report,d.black,26.73358
POPO005,SQR Report,t.nowlin,13.573103
POPO005,SQR Report,t.nowlin,10.938122
POPO005,SQR Report,t.nowlin,13.065581
PV_AUTO_SRC,Application Engine,r.bell,45.099449
PV_AUTO_SRC,Application Engine,r.bell,45.066686
POPO005,SQR Process,t.nowlin,11.634322
PO_PO_EMAIL,Application Engine,t.nowlin,14.994935
POPO005,SQR Report,r.bell,10.6996
NVSRUN,nVision-Report,c.caezza,23.242539
NVSRUN,nVision-Report,c.caezza,12.863422
POPO005,SQR Report,r.bell,9.932882
VFSA0001,Application Engine,PSFINBATCH,15.07351
POPO005,SQR Report,r.bell,9.411211
POPO005,SQR Process,r.bell,12.192433
PO_PO_EMAIL,Application Engine,r.bell,15.006092
NVSRUN,nVision-Report,k.baker,23.59691
POPO005,SQR Process,r.bell,12.104594
PO_PO_EMAIL,Application Engine,r.bell,15.013373
DRILLDWN,nVision-Report,k.baker,41.918055
VFSA0001,Application Engine,PSFINBATCH,15.171979
PRCSYSPURGE,Application Engine,PSFINSERV,60.459068
PRCSSRVCLN,Application Engine,PSFINSERV,15.528524
PSXPARCHATTR,Application Engine,PSFINSERV,15.027502
PSXP_DIRCLN,Application Engine,PSFINSERV,14.99423
PSXP_DIRCLN,Application Engine,PSFINSERV,15.016553
VGLA0001,Application Engine,NVBATCH,59.308465
RPTBOOK,nVision-ReportBook,NVBATCH,251.476207
RPTBOOK,nVision-ReportBook,NVBATCH,1610.316171
RPTBOOK,nVision-ReportBook,NVBATCH,1684.058894
RPTBOOK,nVision-ReportBook,NVBATCH,1787.397875
RPTBOOK,nVision-ReportBook,NVBATCH,494.067959
RPTBOOK,nVision-ReportBook,NVBATCH,103.242872
RPTBOOK,nVision-ReportBook,NVBATCH,555.030259
RPTBOOK,nVision-ReportBook,NVBATCH,1297.71509
APY1090-,Crystal,PSFINBATCH,14.784677
APY1090-,Crystal,PSFINBATCH,12.155519
APY1090-,Crystal,PSFINBATCH,12.476024
APY1090-,Crystal,PSFINBATCH,12.327803
APY1090-,Crystal,PSFINBATCH,12.109054
VAPA0004,Application Engine,PSFINBATCH,15.05257
VAPA0003,Application Engine,PSFINBATCH,15.039113
V_PV_APR,SQR Report,PSFINBATCH,48.605477
AP_VCHRBLD,Application Engine,PSFINBATCH,122.997253
VAPS0003,SQR Report,PSFINBATCH,56.815383
VAPA0005,Application Engine,PSFINBATCH,15.015971
VFSA0001,Application Engine,PSFINBATCH,14.927246
PO_RECVPUSH,Application Engine,s.cao,89.243472
PORQ010,SQR Report,t.nowlin,10.823681
PORQ010,SQR Report,t.nowlin,12.469656
VFSA0001,Application Engine,PSFINBATCH,14.988067
DRILLDWN,nVision-Report,m.sutton,25.513902
PV_AUTO_SRC,Application Engine,t.nowlin,89.909618
NVSRUN,nVision-Report,a.vessar,468.109418
POPO005,SQR Report,t.nowlin,11.319232
POPO005,SQR Process,t.nowlin,12.526221
PO_PO_EMAIL,Application Engine,t.nowlin,15.004905
DRILLDWN,nVision-Report,a.vessar,117.863418
NVSRUN,nVision-Report,d.black,28.222235
PV_AUTO_SRC,Application Engine,t.nowlin,75.124134
DRILLDWN,nVision-Report,a.vessar,11.580176
POPO005,SQR Report,t.nowlin,12.993306
DRILLDWN,nVision-Report,d.black,13.869212
POPO005,SQR Report,t.nowlin,13.547569
DRILLDWN,nVision-Report,d.black,13.902722
DRILLDWN,nVision-Report,d.black,13.862241
POPO005,SQR Process,t.nowlin,13.467365
PO_PO_EMAIL,Application Engine,t.nowlin,15.015798
DRILLDWN,nVision-Report,d.black,26.757757
PV_AUTO_SRC,Application Engine,t.nowlin,60.413044
DRILLDWN,nVision-Report,m.sutton,11.734499
POPO005,SQR Report,t.nowlin,12.66788
POPO005,SQR Process,t.nowlin,14.01619
PO_PO_EMAIL,Application Engine,t.nowlin,15.020922
DRILLDWN,nVision-Report,d.black,12.120465
NVSRUN,nVision-Report,c.stern,36.522821
PV_AUTO_SRC,Application Engine,t.nowlin,60.109377
NVSRUN,nVision-Report,m.elbeck,11.802303
DRILLDWN,nVision-Report,m.elbeck,26.849423
VFSA0001,Application Engine,PSFINBATCH,15.056136
POPO005,SQR Report,t.nowlin,12.093804
POPO005,SQR Report,t.nowlin,12.366633
DRILLDWN,nVision-Report,d.black,11.72874
POPO005,SQR Process,t.nowlin,13.112884
PO_PO_EMAIL,Application Engine,t.nowlin,15.031147
NVSRUN,nVision-Report,v.wester,13.663406
DRILLDWN,nVision-Report,v.wester,13.882983
NVSRUN,nVision-Report,c.stern,28.97908
PORQ010,SQR Report,t.nowlin,12.308823
PORQ010,SQR Report,t.nowlin,11.951109
VAPA0001,Application Engine,tr.johnson,13.894849
VAPS0001,SQR Report,tr.johnson,12.913373
ECIN0001,SQR Report,tr.johnson,13.085969
AP_VCHRBLD,Application Engine,tr.johnson,152.614125
NVSRUN,nVision-Report,m.elbeck,12.071163
GL_JEDIT_0,Application Engine,d.black,29.689029
GL_JEDIT_0,Application Engine,d.black,30.000593
GL_JP,Application Engine,d.black,15.019776
FS_STREAMLN,Application Engine,tr.johnson,30.058719
PV_AUTO_SRC,Application Engine,t.nowlin,60.119802
GL_JEDIT_0,Application Engine,d.black,45.503063
GL_JP,Application Engine,d.black,15.018333
POPO005,SQR Report,t.nowlin,12.426345
POPO005,SQR Process,t.nowlin,12.246267
PO_PO_EMAIL,Application Engine,t.nowlin,15.012965
NVSRUN,nVision-Report,l.bratton,56.733354
PORQ010,SQR Report,t.nowlin,12.302687
VPTA0001,Application Engine,PSFINBATCH,15.018752
VFSA0001,Application Engine,PSFINBATCH,14.675018
VPOA0002,Application Engine,PSFINBATCH,15.032474
PORQ010,SQR Report,t.nowlin,12.972192
PORQ010,SQR Report,t.nowlin,12.436913
GL_JEDIT_0,Application Engine,m.elbeck,30.001638
GLX7501,XML Publisher,m.elbeck,15.032348
PORQ010,SQR Report,t.nowlin,12.554991
NVSRUN,nVision-Report,m.elbeck,12.103884
GL_JEDIT_0,Application Engine,d.black,30.03301
GL_JP,Application Engine,d.black,15.029433
PORQ010,SQR Report,t.nowlin,12.225913
DRILLDWN,nVision-Report,d.black,26.338149
PO_RECVPUSH,Application Engine,t.nowlin,15.367906
AP_MATCH,Application Engine,t.nowlin,121.340217
DRILLDWN,nVision-Report,d.black,25.389655
PO_RECVPUSH,Application Engine,t.nowlin,15.009482
AP_MATCH,Application Engine,t.nowlin,45.093846
DRILLDWN,nVision-Report,c.stern,13.849154
PO_RECVPUSH,Application Engine,t.nowlin,15.020911
AP_MATCH,Application Engine,t.nowlin,60.247793
NVSRUN,nVision-Report,c.caezza,42.103664
PORQ010,SQR Report,t.nowlin,13.407791
NVSRUN,nVision-Report,v.santos,193.991679
DRILLDWN,nVision-Report,c.caezza,25.537661
NVSRUN,nVision-Report,v.santos,255.916986
NVSRUN,nVision-Report,v.santos,209.119388
PORQ010,SQR Report,t.nowlin,12.684793
FS_STREAMLN,Application Engine,tr.johnson,46.627175
FS_STREAMLN,Application Engine,tr.johnson,60.604244
FS_STREAMLN,Application Engine,tr.johnson,59.733594
GL_JEDIT_0,Application Engine,d.black,29.956153
GL_JP,Application Engine,d.black,15.013593
AP_MATCH,Application Engine,tr.johnson,15.246703
AP_MATCH,Application Engine,tr.johnson,15.042266
AP_MATCH,Application Engine,tr.johnson,15.015494
FS_STREAMLN,Application Engine,tr.johnson,45.064581
FS_STREAMLN,Application Engine,tr.johnson,45.065376
VAPA0001,Application Engine,k.braase,15.031713
FS_STREAMLN,Application Engine,tr.johnson,45.052433
VAPS0001,SQR Report,k.braase,12.620575
ECIN0001,SQR Report,k.braase,13.682596
VAPA0001,Application Engine,k.braase,15.012884
VAPS0001,SQR Report,k.braase,14.35624
ECIN0001,SQR Report,k.braase,13.429462
AP_VCHRBLD,Application Engine,k.braase,121.688344
VFSA0001,Application Engine,PSFINBATCH,15.047469
PORQ010,SQR Report,t.nowlin,12.24502
PORQ010,SQR Report,t.nowlin,13.220737
NVSRUN,nVision-Report,m.elbeck,11.727024
PO_RECVPUSH,Application Engine,r.johnson,14.999781
GL_JEDIT_0,Application Engine,m.elbeck,30.021453
PO_RECVPUSH,Application Engine,r.johnson,15.012838
GLX7501,XML Publisher,m.elbeck,15.166388
PO_RECVPUSH,Application Engine,r.johnson,15.033103
GL_JEDIT_0,Application Engine,m.elbeck,30.034299
DRILLDWN,nVision-Report,b.grotegut,27.660457
GLX7501,XML Publisher,m.elbeck,15.05597
GL_JEDIT_0,Application Engine,m.elbeck,30.031251
GLX7501,XML Publisher,m.elbeck,15.002715
NVSRUN,nVision-Report,m.elbeck,14.037293
GL_JEDIT_0,Application Engine,b.grotegut,30.014333
FS_STREAMLN,Application Engine,l.cator,15.012877
DRILLDWN,nVision-Report,b.grotegut,25.33236
FS_STREAMLN,Application Engine,l.cator,15.008049
NVSRUN,nVision-Report,b.grotegut,116.187588
VFSA0001,Application Engine,PSFINBATCH,15.041272
GL_JEDIT_0,Application Engine,m.elbeck,30.062471
GLX7501,XML Publisher,m.elbeck,15.042447
GL_JEDIT_0,Application Engine,m.elbeck,30.076247
GLX7501,XML Publisher,m.elbeck,15.118943
V_ASSET_LOAD,Application Engine,d.robinson,15.140607
AMIF1000,Application Engine,d.robinson,60.226338
AM_DEPR_CALC,Application Engine,d.robinson,46.208359
AMDPCALC,SQR Process,d.robinson,11.373344
AM_AMAEDIST,Application Engine,d.robinson,15.011948
NVSRUN,nVision-Report,m.elbeck,11.74209
FS_JGEN,Application Engine,d.robinson,30.093061
NVSRUN,nVision-Report,j.walt,13.965419
DRILLDWN,nVision-Report,j.walt,13.824697
DRILLDWN,nVision-Report,m.elbeck,26.763896
GL_JP,Application Engine,d.robinson,15.019748
NVSRUN,nVision-Report,d.robinson,26.241951
DRILLDWN,nVision-Report,d.robinson,26.72963
PSQUERY,Application Engine,d.robinson,105.150603
DRILLDWN,nVision-Report,m.sutton,13.838139
GL_JEDIT_0,Application Engine,m.elbeck,30.000044
GLX7501,XML Publisher,m.elbeck,15.014738
NVSRUN,nVision-Report,m.elbeck,11.793048
GL_JEDIT_0,Application Engine,m.elbeck,30.024771
GLX7501,XML Publisher,m.elbeck,15.024523
GL_JEDIT_0,Application Engine,m.elbeck,30.035077
GLX7501,XML Publisher,m.elbeck,15.036016
NVSRUN,nVision-Report,m.elbeck,26.706693
VFSA0001,Application Engine,PSFINBATCH,15.02731
GL_JEDIT_0,Application Engine,m.elbeck,15.007747
GLX7501,XML Publisher,m.elbeck,15.031061
NVSRUN,nVision-Report,m.elbeck,11.922395
NVSRUN,nVision-Report,m.elbeck,14.088826
PRCSYSPURGE,Application Engine,PSFINSERV,45.052219
PRCSSRVCLN,Application Engine,PSFINSERV,17.075865
PSXPARCHATTR,Application Engine,PSFINSERV,14.827489
PSXP_DIRCLN,Application Engine,PSFINSERV,14.743276
PSXP_DIRCLN,Application Engine,PSFINSERV,15.013754
VGLA0001,Application Engine,NVBATCH,74.095762
RPTBOOK,nVision-ReportBook,NVBATCH,1184.104257
RPTBOOK,nVision-ReportBook,NVBATCH,1712.561631
RPTBOOK,nVision-ReportBook,NVBATCH,1938.60464
RPTBOOK,nVision-ReportBook,NVBATCH,1952.639477
RPTBOOK,nVision-ReportBook,NVBATCH,388.157816
RPTBOOK,nVision-ReportBook,NVBATCH,103.233997
RPTBOOK,nVision-ReportBook,NVBATCH,480.242739
RPTBOOK,nVision-ReportBook,NVBATCH,1322.516087
APY1090-,Crystal,PSFINBATCH,23.657056
APY1090-,Crystal,PSFINBATCH,11.442137
APY1090-,Crystal,PSFINBATCH,12.193865
APY1090-,Crystal,PSFINBATCH,12.345444
APY1090-,Crystal,PSFINBATCH,12.518328
VAPA0004,Application Engine,PSFINBATCH,14.543832
VAPA0003,Application Engine,PSFINBATCH,15.023992
V_FINSEC,SQR Report,PSFINBATCH,26.109552
AP_VCHRBLD,Application Engine,PSFINBATCH,15.06359
DDDAUDIT,SQR Report,PSFINBATCH,880.097385
VAPA0005,Application Engine,PSFINBATCH,15.078053
SYSAUDIT,SQR Report,PSFINBATCH,123.442614
PURGEOLDUSRS,Application Engine,PSFINBATCH,75.103276
VFSA0001,Application Engine,PSFINBATCH,15.03361
VFSA0001,Application Engine,PSFINBATCH,14.887024
DRILLDWN,nVision-Report,m.sutton,23.73116
PV_AUTO_SRC,Application Engine,r.bell,74.934013
PV_AUTO_SRC,Application Engine,r.bell,60.062377
PV_AUTO_SRC,Application Engine,r.bell,60.083896
PV_AUTO_SRC,Application Engine,r.bell,60.490378
POPO005,SQR Report,r.bell,4.339525
POPO005,SQR Report,r.bell,12.128398
POPO005,SQR Report,r.bell,11.88722
POPO005,SQR Report,r.bell,12.818179
DRILLDWN,nVision-Report,b.grotegut,26.813008
POPO005,SQR Process,r.bell,12.060066
PO_PO_EMAIL,Application Engine,r.bell,14.872548
POPO005,SQR Process,r.bell,12.005175
PO_PO_EMAIL,Application Engine,r.bell,15.021312
NVSRUN,nVision-Report,d.black,26.903237
POPO005,SQR Process,r.bell,12.64011
PO_PO_EMAIL,Application Engine,r.bell,15.008043
NVSRUN,nVision-Report,j.walt,57.101015
POPO005,SQR Process,r.bell,13.803397
PO_PO_EMAIL,Application Engine,r.bell,15.015176
DRILLDWN,nVision-Report,d.black,13.870593
NVSRUN,nVision-Report,c.caezza,26.210976
DRILLDWN,nVision-Report,c.caezza,26.747195
GL_JEDIT_0,Application Engine,m.sutton,30.037357
PORQ010,SQR Report,r.bell,12.275852
VFSA0001,Application Engine,PSFINBATCH,15.243735
PORQ010,SQR Report,r.bell,11.965507
PORQ010,SQR Report,r.bell,14.04383
DRILLDWN,nVision-Report,j.walt,11.196043
NVSRUN,nVision-Report,e.endicott,26.831689
GL_JEDIT_0,Application Engine,j.walt,30.020506
GL_JP,Application Engine,j.walt,15.015745
DRILLDWN,nVision-Report,d.black,26.173431
DRILLDWN,nVision-Report,m.sutton,26.524339
PORQ010,SQR Report,r.bell,12.18935
GL_JEDIT_0,Application Engine,m.sutton,29.995642
DRILLDWN,nVision-Report,j.walt,25.624375
VPTA0001,Application Engine,PSFINBATCH,15.108393
VFSA0001,Application Engine,PSFINBATCH,14.437015
VPOA0002,Application Engine,PSFINBATCH,15.019281
GL_JEDIT_0,Application Engine,m.elbeck,29.931255
GLX7501,XML Publisher,m.elbeck,14.985043
NVSRUN,nVision-Report,m.elbeck,25.860301
NVSRUN,nVision-Report,d.robinson,13.900155
GL_ALC_COPY,Application Engine,r.fitzgerald,14.96803
PO_RECVPUSH,Application Engine,e.slaughter,14.99223
GL_JEDIT_0,Application Engine,m.elbeck,30.030754
PO_RECVPUSH,Application Engine,e.slaughter,15.262767
GLX7501,XML Publisher,m.elbeck,15.01466
PO_RECVPUSH,Application Engine,e.slaughter,15.016289
NVSRUN,nVision-Report,m.elbeck,11.434898
PORQ010,SQR Report,r.bell,12.762922
PO_RECVPUSH,Application Engine,a.amaro,14.994067
PORQ010,SQR Report,r.bell,12.833738
PORQ010,SQR Report,r.bell,13.771055
PORQ010,SQR Report,r.bell,11.968824
PORQ010,SQR Report,r.bell,14.058091
DRILLDWN,nVision-Report,m.sutton,11.935517
VFSA0001,Application Engine,PSFINBATCH,15.015166
FS_STREAMLN,Application Engine,tr.johnson,15.010945
FS_STREAMLN,Application Engine,tr.johnson,14.690155
GL_JEDIT_0,Application Engine,m.sutton,60.103783
NVSRUN,nVision-Report,m.sutton,26.359733
GL_JEDIT_0,Application Engine,m.elbeck,30.147957
GL_JEDIT_0,Application Engine,m.sutton,31.454719
GLX7501,XML Publisher,m.elbeck,14.372695
PV_AUTO_SRC,Application Engine,r.bell,60.073196
PV_AUTO_SRC,Application Engine,r.bell,60.107347
NVSRUN,nVision-Report,m.sutton,11.631221
POPO005,SQR Report,r.bell,12.774082
POPO005,SQR Report,r.bell,12.439697
POPO005,SQR Process,r.bell,13.158546
PO_PO_EMAIL,Application Engine,r.bell,15.011195
POPO005,SQR Process,r.bell,12.055289
PO_PO_EMAIL,Application Engine,r.bell,15.0137
VFSA0001,Application Engine,PSFINBATCH,15.01295
VFSA0001,Application Engine,PSFINBATCH,15.028183
PRCSYSPURGE,Application Engine,PSFINSERV,60.127648
PRCSSRVCLN,Application Engine,PSFINSERV,15.858708
PSXPARCHATTR,Application Engine,PSFINSERV,15.728824
PSXP_DIRCLN,Application Engine,PSFINSERV,15.034699
PSXP_DIRCLN,Application Engine,PSFINSERV,14.115569
VGLA0001,Application Engine,NVBATCH,59.946443
RPTBOOK,nVision-ReportBook,NVBATCH,1334.931294
RPTBOOK,nVision-ReportBook,NVBATCH,1697.950642
RPTBOOK,nVision-ReportBook,NVBATCH,1879.620994
RPTBOOK,nVision-ReportBook,NVBATCH,2028.231981
RPTBOOK,nVision-ReportBook,NVBATCH,404.645924
RPTBOOK,nVision-ReportBook,NVBATCH,73.429918
RPTBOOK,nVision-ReportBook,NVBATCH,435.348914
RPTBOOK,nVision-ReportBook,NVBATCH,1006.400929
VAPA0004,Application Engine,PSFINBATCH,13.518519
VAPA0003,Application Engine,PSFINBATCH,30.016911
AP_VCHRBLD,Application Engine,PSFINBATCH,195.310442
VAPA0005,Application Engine,PSFINBATCH,15.033782
VPTA0001,Application Engine,PSFINBATCH,14.13868
VPOA0002,Application Engine,PSFINBATCH,15.013911
PRCSYSPURGE,Application Engine,PSFINSERV,112.159104
PSXP_DIRCLN,Application Engine,PSFINSERV,15.029334
PSXPARCHATTR,Application Engine,PSFINSERV,15.474227
PRCSSRVCLN,Application Engine,PSFINSERV,14.795932
PSXP_DIRCLN,Application Engine,PSFINSERV,14.695886
VGLA0001,Application Engine,NVBATCH,60.102658
RPTBOOK,nVision-ReportBook,NVBATCH,942.427713
RPTBOOK,nVision-ReportBook,NVBATCH,1956.318926
RPTBOOK,nVision-ReportBook,NVBATCH,2150.154126
RPTBOOK,nVision-ReportBook,NVBATCH,1877.740547
RPTBOOK,nVision-ReportBook,NVBATCH,373.806134
RPTBOOK,nVision-ReportBook,NVBATCH,88.007859
RPTBOOK,nVision-ReportBook,NVBATCH,435.247087
RPTBOOK,nVision-ReportBook,NVBATCH,975.070036
VAPA0004,Application Engine,PSFINBATCH,14.951911
VAPA0003,Application Engine,PSFINBATCH,15.021512
AP_VCHRBLD,Application Engine,PSFINBATCH,15.014502
VAPA0005,Application Engine,PSFINBATCH,15.01568
PSQUERY,Application Engine,PSFINBATCH,14.563547
VPTA0001,Application Engine,PSFINBATCH,14.840099
VPOA0002,Application Engine,PSFINBATCH,15.01478
V_AM1900,SQR Process,PSFINBATCH,1482.02594
EX_EE_UPDATE,Application Engine,PSFINBATCH,14.999756
PRCSYSPURGE,Application Engine,PSFINSERV,75.148181
PRCSSRVCLN,Application Engine,PSFINSERV,14.668641
PSXP_DIRCLN,Application Engine,PSFINSERV,14.321492
PSXPARCHATTR,Application Engine,PSFINSERV,14.160805
PSXP_DIRCLN,Application Engine,PSFINSERV,15.076508
VGLA0001,Application Engine,NVBATCH,60.262144
RPTBOOK,nVision-ReportBook,NVBATCH,1138.576646
RPTBOOK,nVision-ReportBook,NVBATCH,1787.491928
RPTBOOK,nVision-ReportBook,NVBATCH,2164.023852
RPTBOOK,nVision-ReportBook,NVBATCH,2029.036561
RPTBOOK,nVision-ReportBook,NVBATCH,388.489484
RPTBOOK,nVision-ReportBook,NVBATCH,44.071673
RPTBOOK,nVision-ReportBook,NVBATCH,375.068801
RPTBOOK,nVision-ReportBook,NVBATCH,930.881528
APY1090-,Crystal,PSFINBATCH,16.336148
APY1090-,Crystal,PSFINBATCH,19.809938
APY1090-,Crystal,PSFINBATCH,6.802179
APY1090-,Crystal,PSFINBATCH,5.95853
APY1090-,Crystal,PSFINBATCH,11.751056
VAPA0004,Application Engine,PSFINBATCH,14.164088
GLS7010,SQR Report,PSFINBATCH,51.508502
VAPA0003,Application Engine,PSFINBATCH,15.05146
AP_VCHRBLD,Application Engine,PSFINBATCH,15.011409
VAPA0005,Application Engine,PSFINBATCH,15.016166
GLS7010,SQR Report,PSFINBATCH,42.524689
GLS7010,SQR Report,PSFINBATCH,28.779246
GLS7010,SQR Report,PSFINBATCH,14.043834
GLS7010,SQR Report,PSFINBATCH,14.295011
GLS7010,SQR Report,PSFINBATCH,13.552042
GLS7010,SQR Report,PSFINBATCH,13.825156
GLS7010,SQR Report,PSFINBATCH,14.130409
GLS7010,SQR Report,PSFINBATCH,13.683061
GLS7010,SQR Report,PSFINBATCH,13.946309
GLS7010,SQR Report,PSFINBATCH,13.35928
GLS7010,SQR Report,PSFINBATCH,13.637662
GLS7010,SQR Report,PSFINBATCH,13.917968
GLS7010,SQR Report,PSFINBATCH,14.185395
GLS7010,SQR Report,PSFINBATCH,12.458813
GLS7010,SQR Report,PSFINBATCH,13.73202
GLS7010,SQR Report,PSFINBATCH,14.00447
GLS7010,SQR Report,PSFINBATCH,14.268765
GLS7010,SQR Report,PSFINBATCH,13.544761
GLS7010,SQR Report,PSFINBATCH,13.809589
GLS7010,SQR Report,PSFINBATCH,14.088582
GLS7010,SQR Report,PSFINBATCH,14.378976
GLS7010,SQR Report,PSFINBATCH,13.649735
VAPA0006,Application Engine,PSFINBATCH,45.069852
VFSA0001,Application Engine,PSFINBATCH,14.838669
IN_FUL_DPL,Application Engine,k.andrews,29.805301
V_UPDSTG_EXP,Application Engine,k.andrews,15.015367
INPSSTGE,COBOL SQL,k.andrews,14.038555
INS3500,SQR Report,k.andrews,12.627779
INPPPTWY,COBOL SQL,k.andrews,14.684228
V_UPDSTG_EXP,Application Engine,k.andrews,15.03069
INPSSTGE,COBOL SQL,k.andrews,14.703389
INS3500,SQR Report,k.andrews,14.006442
INPPPTWY,COBOL SQL,k.andrews,14.669755
IN_FUL_DPL,Application Engine,k.andrews,15.015541
V_UPDSTG_EXP,Application Engine,k.andrews,15.019707
V_UPDSTG_EXP,Application Engine,k.andrews,15.024077
INPSSTGE,COBOL SQL,k.andrews,14.75777
INPSSTGE,COBOL SQL,k.andrews,14.281424
INS3500,SQR Report,k.andrews,13.627937
INPPPTWY,COBOL SQL,k.andrews,14.758107
INS3500,SQR Report,k.andrews,13.80312
INPPPTWY,COBOL SQL,k.andrews,14.762766
DRILLDWN,nVision-Report,m.sutton,26.437952
VFSA0001,Application Engine,PSFINBATCH,15.028774
PV_AUTO_SRC,Application Engine,r.bell,75.2341
NVSRUN,nVision-Report,c.caezza,26.244815
PO_RECVPUSH,Application Engine,r.johnson,15.005605
POPO005,SQR Report,r.bell,19.889844
POPO005,SQR Report,r.bell,13.481056
POPO005,SQR Process,r.bell,12.063162
PO_PO_EMAIL,Application Engine,r.bell,15.056682
NVSRUN,nVision-Report,v.wester,72.861011
PV_AUTO_SRC,Application Engine,t.nowlin,60.1369
POPO005,SQR Process,r.bell,12.381145
PO_PO_EMAIL,Application Engine,r.bell,15.007779
NVSRUN,nVision-Report,v.wester,28.088034
POPO005,SQR Report,t.nowlin,11.759679
PORQ010,SQR Report,r.bell,13.070036
